127.0.0.1 - - [17/Oct/2023:17:03:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:03:54 +0530] "GET /project_3/ HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:03:54 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:03:54 +0530] "GET /project_3/img/Login21.jpg HTTP/1.1" 200 1901338
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:04:16 +0530] "GET /project_3/ HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:04:16 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:04:16 +0530] "GET /project_3/img/Login21.jpg HTTP/1.1" 200 1901338
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:04:23 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3777
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:04:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:04:23 +0530] "GET /project_3/img/registrationpage.jpg HTTP/1.1" 200 3223
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:04:28 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7180
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:04:29 +0530] "GET /project_3/img/welcomepage.jpg HTTP/1.1" 200 583823
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:04:36 +0530] "POST /project_3/LoginCtl HTTP/1.1" 500 4799
