127.0.0.1 - - [17/Nov/2023:11:52:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Nov/2023:11:52:19 +0530] "GET /project_3/ HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [17/Nov/2023:11:52:19 +0530] "GET /project_3/img/bg17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:11:52:22 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [17/Nov/2023:11:52:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Nov/2023:11:52:22 +0530] "GET /project_3/img/bg16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:11:52:31 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11880
0:0:0:0:0:0:0:1 - - [17/Nov/2023:11:52:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Nov/2023:11:52:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Nov/2023:12:06:46 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7157
0:0:0:0:0:0:0:1 - - [17/Nov/2023:12:07:55 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5628
0:0:0:0:0:0:0:1 - - [17/Nov/2023:12:07:55 +0530] "GET /project_3/img/log1.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Nov/2023:12:08:10 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:12:08:10 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:12:08:10 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2023:12:08:10 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9839
0:0:0:0:0:0:0:1 - - [17/Nov/2023:12:08:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/Nov/2023:12:21:34 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18445
0:0:0:0:0:0:0:1 - - [17/Nov/2023:12:47:05 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 13242
