127.0.0.1 - - [07/Dec/2023:18:09:23 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:09:25 +0530] "GET /project_3/ HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:09:25 +0530] "GET /project_3/img/bg17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:09:27 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:09:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:09:27 +0530] "GET /project_3/img/bg16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:09:34 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11880
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:09:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:09:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:09:59 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7106
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:10:16 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:10:16 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9841
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:10:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:10:16 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:10:16 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:10:16 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:10:24 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18448
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:10:24 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:10:24 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:10:35 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:10:35 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18257
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:10:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:10:35 +0530] "GET /project_3/img/log1.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:11:15 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18448
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:11:22 +0530] "GET /project_3/ctl/UserCtl?id=3 HTTP/1.1" 200 17311
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:11:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:11:22 +0530] "GET /project_3/img/log1.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:11:39 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17526
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:11:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Dec/2023:18:11:39 +0530] "GET /project_3/img/log1.jpg HTTP/1.1" 404 973
